# of Objects	Object	Ore	Ingot	Nugget	Compressed Block	Catalyst	Deprecated 1	Deprecated 2	Compound Small	Compound Medium	Compound Large	Compound Industrial	Compound Small(2)	Compound Medium(2)	Compound Large(2)	Compound Industrial(2)	Element Small	Element Medium	Element Large	Element Industrial	Bag (Pellets)	Sack (Pellets)	Powder Keg (Pellets)	Chemical Silo (Pellets)	Polymer Block	Polymer Slab	Polymer Stairs	Brick	Mold	Molded Item	Mask	Wafer	Electronics	DNA Sampler	Cell Culture Dish	Polycraft Headgear	Polycraft Chest	Polycraft Leggings	Polycraft Feet	Polycraft Hoe	Polycraft Spade	Polycraft Pickaxe	Polycraft Axe	Polycraft Sword	Inventory	Gripped Tool	Pogo Stick	Custom Object	Internal Object	Minecraft Item	Minecraft Block
4592	Object	Magnesium Ore	Magnesium Ingot	Magnesium Nugget	Block of Magnesium	Platinum Catalyst	Bag (PolyIsoPrene Pellets)	Vial (Crude Oil)	Flask (1,1,1,2-Tetrafluoroethane)	Cartridge (1,1,1,2-Tetrafluoroethane)	Canister (1,1,1,2-Tetrafluoroethane)	Chemical Tank (1,1,1,2-Tetrafluoroethane)	Vial (Antifreeze)	Beaker (Antifreeze)	Drum (Antifreeze)	Chemical Vat (Antifreeze)	Flask (Hydrogen)	Cartridge (Hydrogen)	Canister (Hydrogen)	Chemical Tank (Hydrogen)	Vial (Acrylic-Formaldehyde Resin)	Beaker (Acrylic-Formaldehyde Resin)	Drum (Acrylic-Formaldehyde Resin)	Chemical Vat (Acrylic-Formaldehyde Resin)	Block (AF Resin)	Slab (AF Resin)	Stairs (AF Resin)	ABS Brick (1 x 1)	Mold (Grip)	Grip (Natural Rubber)	Mask (Solar Cell)(PR Backplane)	Silicon Wafer	Solar Cell	DNA Sampler (Pig)	Cell Culture Dish (Pig)	Rubber Shower Cap	Rubber Shirt	Rubber Wading Pants	Rubber Booties	Composite Steel Hoe	Composite Steel Spade	Composite Steel Pickaxe	Composite Steel Axe	Composite Steel Sword	Tree Tap	Gripped Iron Shovel	Wooden Pogo Stick	Metal Screw	Oil	Iron Shovel	Air
		0	0		0	0	Bag (PolyEthylene Oxide Pellets)	Beaker (Naphtha)	Vial (Antimony Trioxide)	Beaker (Antimony Trioxide)	Drum (Antimony Trioxide)	Chemical Vat (Antimony Trioxide)	Bag (Sodium Nitrite)	Sack (Sodium Nitrite)	Powder Keg (Sodium Nitrite)	Chemical Silo (Sodium Nitrite)	Bag (Barium)	Sack (Barium)	Powder Keg (Barium)	Chemical Silo (Barium)	Bag (PolyEthylene Terephthalate Glycol-Modified Pellets)	Sack (PolyEthylene Terephthalate Glycol-Modified Pellets)	Powder Keg (PolyEthylene Terephthalate Glycol-Modified Pellets)	Chemical Silo (PolyEthylene Terephthalate Glycol-Modified Pellets)	Block (PETG)	Slab (PETG)	Stairs (PETG)	0	0	Fibers (PBR (high grade))	0	0	0			EPDM Swim Cap	EPDM Wetsuit	EPDM Pants	EPDM Booties						0	'[2]Gripped Tools'!#REF!	0	Freeze Ray (Beginner)		Diamond Chestplate	Redstone Wire
		0	0		0	0	Bag (PolyEthylene Sulphide Pellets)	Drum (Naphtha)	Vial (Ascorbic Acid)	Beaker (Ascorbic Acid)	Drum (Ascorbic Acid)	Chemical Vat (Ascorbic Acid)	Vial (Dicyclopentadiene)	Beaker (Dicyclopentadiene)	Drum (Dicyclopentadiene)	Chemical Vat (Dicyclopentadiene)	Bag (Lanthanum)	Sack (Lanthanum)	Powder Keg (Lanthanum)	Chemical Silo (Lanthanum)	Bag (PolyGlycolic Acid Pellets)	Sack (PolyGlycolic Acid Pellets)	Powder Keg (PolyGlycolic Acid Pellets)	Chemical Silo (PolyGlycolic Acid Pellets)	Block (PGA)	Slab (PGA)	Stairs (PGA)	0	0	Fibers (PBS)	0	0	0			EVA Swim Cap	EVA Wetsuit	EVA Pants	EVA Booties						0	'[2]Gripped Tools'!#REF!	0	Freeze Ray (Intermediate)		Diamond Leggings	Diamond Ore
		0	0		0	0	Bag (PolyEthylene Terephthalate Pellets)	Vial (IsoPentane)	Vial (Barium Carbonate)	Beaker (Barium Carbonate)	Drum (Barium Carbonate)	Chemical Vat (Barium Carbonate)	Vial (Tetrafluoroboric Acid)	Beaker (Tetrafluoroboric Acid)	Drum (Tetrafluoroboric Acid)	Chemical Vat (Tetrafluoroboric Acid)	Bag (Cerium)	Sack (Cerium)	Powder Keg (Cerium)	Chemical Silo (Cerium)	Bag (PolyHexamethylene Adipamide Pellets)	Sack (PolyHexamethylene Adipamide Pellets)	Powder Keg (PolyHexamethylene Adipamide Pellets)	Chemical Silo (PolyHexamethylene Adipamide Pellets)	Block (Nylon 6,7)	Slab (Nylon 6,7)	Stairs (Nylon 6,7)	0	0	Fibers (PBT)	0	0	0			PUR Swim Cap	PUR Wetsuit	PUR Pants	PUR Booties						0	'[2]Gripped Tools'!#REF!	0	Freeze Ray (Advanced)		Diamond Boots	Diamond Block
		0	0		0	0	Bag (PolyEthylene Terephthalate Glycol-Modified Pellets)	Beaker (IsoPentane)	Vial (Barium Sulfate)	Beaker (Barium Sulfate)	Drum (Barium Sulfate)	Chemical Vat (Barium Sulfate)	Vial (Fluorobenzene)	Beaker (Fluorobenzene)	Drum (Fluorobenzene)	Chemical Vat (Fluorobenzene)	Bag (Praseodymium)	Sack (Praseodymium)	Powder Keg (Praseodymium)	Chemical Silo (Praseodymium)	Bag (PolyHexamethylene Sebacamide Pellets)	Sack (PolyHexamethylene Sebacamide Pellets)	Powder Keg (PolyHexamethylene Sebacamide Pellets)	Chemical Silo (PolyHexamethylene Sebacamide Pellets)	Block (Nylon 6,10)	Slab (Nylon 6,10)	Stairs (Nylon 6,10)	0	0	Fibers (PCL)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Freeze Ray (Pro)		Golden Helmet	Crafting Table
		0	0		0	0	Bag (PolyGlycolic Acid Pellets)	Drum (IsoPentane)	Vial (Beer)	Beaker (Beer)	Drum (Beer)	Chemical Vat (Beer)	Vial (p-Fluorobenzoyl Chloride)	Beaker (p-Fluorobenzoyl Chloride)	Drum (p-Fluorobenzoyl Chloride)	Chemical Vat (p-Fluorobenzoyl Chloride)	Bag (Neodymium)	Sack (Neodymium)	Powder Keg (Neodymium)	Chemical Silo (Neodymium)	Bag (PolyHydroxyalkanoate Pellets)	Sack (PolyHydroxyalkanoate Pellets)	Powder Keg (PolyHydroxyalkanoate Pellets)	Chemical Silo (PolyHydroxyalkanoate Pellets)	Block (PHA)	Slab (PHA)	Stairs (PHA)	0	0	Fibers (PC)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Water Cannon (Beginner)		Golden Chestplate	Wheat
		0	0		0	0	Bag (PolyHexamethylene Adipamide Pellets)	Flask (Nitrogen Gas)	Vial (Benzene)	Beaker (Benzene)	Drum (Benzene)	Chemical Vat (Benzene)	Vial (p-Nitrotoluene)	Beaker (p-Nitrotoluene)	Drum (p-Nitrotoluene)	Chemical Vat (p-Nitrotoluene)	Bag (Promethium)	Sack (Promethium)	Powder Keg (Promethium)	Chemical Silo (Promethium)	Bag (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Sack (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Powder Keg (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Chemical Silo (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Block (PHBV)	Slab (PHBV)	Stairs (PHBV)	0	0	Fibers (PCHL)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Water Cannon (Intermediate)		Golden Leggings	Farmland
		0	0		0	0	Bag (PolyHexamethylene Sebacamide Pellets)	Cartridge (Nitrogen Gas)	Vial (Benzene-Toluene-Xylene)	Beaker (Benzene-Toluene-Xylene)	Drum (Benzene-Toluene-Xylene)	Chemical Vat (Benzene-Toluene-Xylene)	Vial (p-Aminotoluene)	Beaker (p-Aminotoluene)	Drum (p-Aminotoluene)	Chemical Vat (p-Aminotoluene)	Bag (Samarium)	Sack (Samarium)	Powder Keg (Samarium)	Chemical Silo (Samarium)	Bag (PolyImide Pellets)	Sack (PolyImide Pellets)	Powder Keg (PolyImide Pellets)	Chemical Silo (PolyImide Pellets)	Block (PI)	Slab (PI)	Stairs (PI)	0	0	Fibers (PCTFE)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Water Cannon (Advanced)		Golden Boots	Furnace
		0	0		0	0	Bag (PolyHydroxyalkanoate Pellets)	Canister (Nitrogen Gas)	Vial (Benzoic Acid)	Beaker (Benzoic Acid)	Drum (Benzoic Acid)	Chemical Vat (Benzoic Acid)	Vial (p-Fluorotoluene)	Beaker (p-Fluorotoluene)	Drum (p-Fluorotoluene)	Chemical Vat (p-Fluorotoluene)	Bag (Europium)	Sack (Europium)	Powder Keg (Europium)	Chemical Silo (Europium)	Bag (PolyIsoBorynl Acrylate Pellets)	Sack (PolyIsoBorynl Acrylate Pellets)	Powder Keg (PolyIsoBorynl Acrylate Pellets)	Chemical Silo (PolyIsoBorynl Acrylate Pellets)	Block (PIBOA)	Slab (PIBOA)	Stairs (PIBOA)	0	0	Fibers (PDMS)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Water Cannon (Pro)		Flint	Lit Furnace
		0	0		0	0	Bag (PolyHydroxybutyrate-Co-Hydroxyvalerate Pellets)	Vial (n-Pentane)	Vial (Benzoyl Peroxide)	Beaker (Benzoyl Peroxide)	Drum (Benzoyl Peroxide)	Chemical Vat (Benzoyl Peroxide)	Vial (1-(Trichloromethyl)-4-Fluorobenzene)	Beaker (1-(Trichloromethyl)-4-Fluorobenzene)	Drum (1-(Trichloromethyl)-4-Fluorobenzene)	Chemical Vat (1-(Trichloromethyl)-4-Fluorobenzene)	Bag (Gadolinium)	Sack (Gadolinium)	Powder Keg (Gadolinium)	Chemical Silo (Gadolinium)	Bag (PolyIsoButyl Acrylate Pellets)	Sack (PolyIsoButyl Acrylate Pellets)	Powder Keg (PolyIsoButyl Acrylate Pellets)	Chemical Silo (PolyIsoButyl Acrylate Pellets)	Block (PIBA)	Slab (PIBA)	Stairs (PIBA)	0	0	Fibers (PEEK)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Silicon Boule		Porkchop	Standing Sign
		0	0		0	0	Bag (PolyImide Pellets)	Beaker (n-Pentane)	Vial (Bismuth Subsalicylate)	Beaker (Bismuth Subsalicylate)	Drum (Bismuth Subsalicylate)	Chemical Vat (Bismuth Subsalicylate)	Vial (4,4-Difluorobenzophenone)	Beaker (4,4-Difluorobenzophenone)	Drum (4,4-Difluorobenzophenone)	Chemical Vat (4,4-Difluorobenzophenone)	Bag (Terbium)	Sack (Terbium)	Powder Keg (Terbium)	Chemical Silo (Terbium)	Bag (PolyIsoButylene Pellets)	Sack (PolyIsoButylene Pellets)	Powder Keg (PolyIsoButylene Pellets)	Chemical Silo (PolyIsoButylene Pellets)	Block (PIB)	Slab (PIB)	Stairs (PIB)	0	0	Fibers (PEI)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Coins (Copper)		Cooked Porkchop	Wooden Door
		0	0		0	0	Bag (PolyIsoBorynl Acrylate Pellets)	Drum (n-Pentane)	Vial (Bisphenol A)	Beaker (Bisphenol A)	Drum (Bisphenol A)	Chemical Vat (Bisphenol A)	Vial (PR Developer)	Beaker (PR Developer)	Drum (PR Developer)	Chemical Vat (PR Developer)	Bag (Dysprosium)	Sack (Dysprosium)	Powder Keg (Dysprosium)	Chemical Silo (Dysprosium)	Bag (PolyIsoPrene Pellets)	Sack (PolyIsoPrene Pellets)	Powder Keg (PolyIsoPrene Pellets)	Chemical Silo (PolyIsoPrene Pellets)	Block (Natural Rubber)	Slab (Natural Rubber)	Stairs (Natural Rubber)	0	0	Fibers (PEA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Bars (Copper)		Painting	Ladder
		0	0		0	0	Bag (PolyIsoButyl Acrylate Pellets)	Vial (2-MethylPentane)	Vial (Boric Acid)	Beaker (Boric Acid)	Drum (Boric Acid)	Chemical Vat (Boric Acid)	Vial (Chrome Etchant)	Beaker (Chrome Etchant)	Drum (Chrome Etchant)	Chemical Vat (Chrome Etchant)	Bag (Holmium)	Sack (Holmium)	Powder Keg (Holmium)	Chemical Silo (Holmium)	Bag (PolyLactic Acid Pellets)	Sack (PolyLactic Acid Pellets)	Powder Keg (PolyLactic Acid Pellets)	Chemical Silo (PolyLactic Acid Pellets)	Block (PLA)	Slab (PLA)	Stairs (PLA)	0	0	Fibers (PEAd)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Stacks (Copper)		Golden Apple	Rail
		0	0		0	0	Bag (PolyIsoButylene Pellets)	Beaker (2-MethylPentane)	Vial (Bromthymol Blue)	Beaker (Bromthymol Blue)	Drum (Bromthymol Blue)	Chemical Vat (Bromthymol Blue)	Vial (Gold Etchant)	Beaker (Gold Etchant)	Drum (Gold Etchant)	Chemical Vat (Gold Etchant)	Bag (Erbium)	Sack (Erbium)	Powder Keg (Erbium)	Chemical Silo (Erbium)	Bag (PolyLactic-Co-Glycolic Acid Pellets)	Sack (PolyLactic-Co-Glycolic Acid Pellets)	Powder Keg (PolyLactic-Co-Glycolic Acid Pellets)	Chemical Silo (PolyLactic-Co-Glycolic Acid Pellets)	Block (PLGA)	Slab (PLGA)	Stairs (PLGA)	0	0	Fibers (PEG)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	365 nm UV Bulbs		Sign	Stone Stairs
		0	0		0	0	Bag (PolyIsoPrene Pellets)	Drum (2-MethylPentane)	Vial (Butadiene)	Beaker (Butadiene)	Drum (Butadiene)	Chemical Vat (Butadiene)	Vial (Nickel Etchant)	Beaker (Nickel Etchant)	Drum (Nickel Etchant)	Chemical Vat (Nickel Etchant)	Bag (Thulium)	Sack (Thulium)	Powder Keg (Thulium)	Chemical Silo (Thulium)	Bag (PolyMethyl Acrylate Pellets)	Sack (PolyMethyl Acrylate Pellets)	Powder Keg (PolyMethyl Acrylate Pellets)	Chemical Silo (PolyMethyl Acrylate Pellets)	Block (PMA)	Slab (PMA)	Stairs (PMA)	0	0	Fibers (PEHD)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	254 nm UV Bulbs		Wooden Door	Wall Sign
		0	0		0	0	Bag (PolyLactic Acid Pellets)	Vial (3-MethylPentane)	Flask (Butane Isomers)	Cartridge (Butane Isomers)	Canister (Butane Isomers)	Chemical Tank (Butane Isomers)	Vial (Heavy Naphthenes)	Beaker (Heavy Naphthenes)	Drum (Heavy Naphthenes)	Chemical Vat (Heavy Naphthenes)	Bag (Ytterbium)	Sack (Ytterbium)	Powder Keg (Ytterbium)	Chemical Silo (Ytterbium)	Bag (PolyMethyl Cyanoacrylate Pellets)	Sack (PolyMethyl Cyanoacrylate Pellets)	Powder Keg (PolyMethyl Cyanoacrylate Pellets)	Chemical Silo (PolyMethyl Cyanoacrylate Pellets)	Block (PMCA)	Slab (PMCA)	Stairs (PMCA)	0	0	Fibers (PEN)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Voice Cone		Bucket	Lever
		0	0		0	0	Bag (PolyLactic-Co-Glycolic Acid Pellets)	Beaker (3-MethylPentane)	Vial (Butanol)	Beaker (Butanol)	Drum (Butanol)	Chemical Vat (Butanol)	Bag (Silver Nitrate)	Sack (Silver Nitrate)	Powder Keg (Silver Nitrate)	Chemical Silo (Silver Nitrate)	Bag (Lutetium)	Sack (Lutetium)	Powder Keg (Lutetium)	Chemical Silo (Lutetium)	Bag (PolyMethyl Methacrylate Pellets)	Sack (PolyMethyl Methacrylate Pellets)	Powder Keg (PolyMethyl Methacrylate Pellets)	Chemical Silo (PolyMethyl Methacrylate Pellets)	Block (PMMA)	Slab (PMMA)	Stairs (PMMA)	0	0	Fibers (PEO)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Megaphone		Water Bucket	Stone Pressure Plate
		0	0		0	0	Bag (PolyMethyl Acrylate Pellets)	Drum (3-MethylPentane)	Vial (Butylene isomers)	Beaker (Butylene isomers)	Drum (Butylene isomers)	Chemical Vat (Butylene isomers)	Flask (0)	Cartridge (0)	Canister (0)	Chemical Tank (0)	Bag (Hafnium)	Sack (Hafnium)	Powder Keg (Hafnium)	Chemical Silo (Hafnium)	Bag (PolyM-Methyl Styrene Pellets)	Sack (PolyM-Methyl Styrene Pellets)	Powder Keg (PolyM-Methyl Styrene Pellets)	Chemical Silo (PolyM-Methyl Styrene Pellets)	Block (PMMS)	Slab (PMMS)	Stairs (PMMS)	0	0	Fibers (PES)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	HAM Radio		Lava Bucket	Iron Door
		0	0		0	0	Bag (PolyMethyl Cyanoacrylate Pellets)	Vial (2,2-DiMethylButane)	Vial (Butyrolactone)	Beaker (Butyrolactone)	Drum (Butyrolactone)	Chemical Vat (Butyrolactone)	Flask (0)	Cartridge (0)	Canister (0)	Chemical Tank (0)	Bag (Tantalum)	Sack (Tantalum)	Powder Keg (Tantalum)	Chemical Silo (Tantalum)	Bag (PolyM-Phenylene Isophthalamide Pellets)	Sack (PolyM-Phenylene Isophthalamide Pellets)	Powder Keg (PolyM-Phenylene Isophthalamide Pellets)	Chemical Silo (PolyM-Phenylene Isophthalamide Pellets)	Block (nomex)	Slab (nomex)	Stairs (nomex)	0	0	Fibers (PET)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Walky Talky		Minecart	Wooden Pressure Plate
		0	0		0	0	Bag (PolyMethyl Methacrylate Pellets)	Beaker (2,2-DiMethylButane)	Vial (Cadmium Sulfide)	Beaker (Cadmium Sulfide)	Drum (Cadmium Sulfide)	Chemical Vat (Cadmium Sulfide)	0	0	0	0	Bag (Tungsten)	Sack (Tungsten)	Powder Keg (Tungsten)	Chemical Silo (Tungsten)	Bag (PolyN-Butyl Acrylate Pellets)	Sack (PolyN-Butyl Acrylate Pellets)	Powder Keg (PolyN-Butyl Acrylate Pellets)	Chemical Silo (PolyN-Butyl Acrylate Pellets)	Block (PNBA)	Slab (PNBA)	Stairs (PNBA)	0	0	Fibers (PETG)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Cell Phone		Saddle	Redstone Ore
		0	0		0	0	Bag (PolyM-Methyl Styrene Pellets)	Drum (2,2-DiMethylButane)	Vial (Caffeine)	Beaker (Caffeine)	Drum (Caffeine)	Chemical Vat (Caffeine)	0	0	0	0	Bag (Rhenium)	Sack (Rhenium)	Powder Keg (Rhenium)	Chemical Silo (Rhenium)	Bag (PolyOxymethylene Pellets)	Sack (PolyOxymethylene Pellets)	Powder Keg (PolyOxymethylene Pellets)	Chemical Silo (PolyOxymethylene Pellets)	Block (POM)	Slab (POM)	Stairs (POM)	0	0	Fibers (PGA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Smart Phone		Iron Door	Lit Redstone Ore
		0	0		0	0	Bag (PolyM-Phenylene Isophthalamide Pellets)	Vial (2,3-DiMethylButane)	Bag (Calcium Carbide)	Sack (Calcium Carbide)	Powder Keg (Calcium Carbide)	Chemical Silo (Calcium Carbide)	0	0	0	0	Bag (Osmium)	Sack (Osmium)	Powder Keg (Osmium)	Chemical Silo (Osmium)	Bag (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Sack (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Powder Keg (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Chemical Silo (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Block (PPHD)	Slab (PPHD)	Stairs (PPHD)	0	0	Fibers (Nylon 6,7)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Trove (Copper)		Redstone	Unlit Redstone Torch
		0	0		0	0	Bag (PolyN-Butyl Acrylate Pellets)	Beaker (2,3-DiMethylButane)	Bag (Calcium Carbonate)	Sack (Calcium Carbonate)	Powder Keg (Calcium Carbonate)	Chemical Silo (Calcium Carbonate)	0	0	0	0	Bag (Iridium)	Sack (Iridium)	Powder Keg (Iridium)	Chemical Silo (Iridium)	Bag (PolyPhenol Pellets)	Sack (PolyPhenol Pellets)	Powder Keg (PolyPhenol Pellets)	Chemical Silo (PolyPhenol Pellets)	Block (Polyphenol)	Slab (Polyphenol)	Stairs (Polyphenol)	0	0	Fibers (Nylon 6,10)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Air Quality Detector		Snowball	Redstone Torch
		0	0		0	0	Bag (PolyOxymethylene Pellets)	Drum (2,3-DiMethylButane)	Bag (Calcium Chloride)	Sack (Calcium Chloride)	Powder Keg (Calcium Chloride)	Chemical Silo (Calcium Chloride)	0	0	0	0	Bag (Platinum)	Sack (Platinum)	Powder Keg (Platinum)	Chemical Silo (Platinum)	Bag (PolyPhenylene Oxide Pellets)	Sack (PolyPhenylene Oxide Pellets)	Powder Keg (PolyPhenylene Oxide Pellets)	Chemical Silo (PolyPhenylene Oxide Pellets)	Block (PPO)	Slab (PPO)	Stairs (PPO)	0	0	Fibers (PHA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Ripstop Nylon Sheet		Boat	Stone Button
		0	0		0	0	Bag (PolyPentamethylene Hexamethylene Dicarbamate Pellets)	Vial (Fruit Brandy)	Bag (Calcium Hydride)	Sack (Calcium Hydride)	Powder Keg (Calcium Hydride)	Chemical Silo (Calcium Hydride)	0	0	0	0	Bag (Gold)	Sack (Gold)	Powder Keg (Gold)	Chemical Silo (Gold)	Bag (PolyPhosphazene Pellets)	Sack (PolyPhosphazene Pellets)	Powder Keg (PolyPhosphazene Pellets)	Chemical Silo (PolyPhosphazene Pellets)	Block (PPPHAZ)	Slab (PPPHAZ)	Stairs (PPPHAZ)	0	0	Fibers (PHBV)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	DNA sampler (Beginner)		Leather	Snow Layer
		0	0		0	0	Bag (PolyPhenol Pellets)	Beaker (Fruit Brandy)	Bag (Calcium Hydroxide)	Sack (Calcium Hydroxide)	Powder Keg (Calcium Hydroxide)	Chemical Silo (Calcium Hydroxide)	0	0	0	0	Vial (Mercury)	Beaker (Mercury)	Drum (Mercury)	Chemical Vat (Mercury)	Bag (PolyP-Methyl Styrene Pellets)	Sack (PolyP-Methyl Styrene Pellets)	Powder Keg (PolyP-Methyl Styrene Pellets)	Chemical Silo (PolyP-Methyl Styrene Pellets)	Block (PPMS)	Slab (PPMS)	Stairs (PPMS)	0	0	Fibers (PI)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	DNA sampler (Intermediate)		Milk Bucket	Ice
		0	0		0	0	Bag (PolyPhenylene Oxide Pellets)	Drum (Fruit Brandy)	Bag (Calcium Hypochlorite)	Sack (Calcium Hypochlorite)	Powder Keg (Calcium Hypochlorite)	Chemical Silo (Calcium Hypochlorite)	0	0	0	0	Bag (Thallium)	Sack (Thallium)	Powder Keg (Thallium)	Chemical Silo (Thallium)	Bag (PolyP-Phenylene Sulphide Pellets)	Sack (PolyP-Phenylene Sulphide Pellets)	Powder Keg (PolyP-Phenylene Sulphide Pellets)	Chemical Silo (PolyP-Phenylene Sulphide Pellets)	Block (PPS)	Slab (PPS)	Stairs (PPS)	0	0	Fibers (PIBOA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	DNA sampler (Advanced)		Brick	Snow
		0	0		0	0	Bag (PolyPhosphazene Pellets)	Vial (Vodka)	Bag (Calcium Monoxide)	Sack (Calcium Monoxide)	Powder Keg (Calcium Monoxide)	Chemical Silo (Calcium Monoxide)	0	0	0	0	Bag (Plumbum (Lead))	Sack (Plumbum (Lead))	Powder Keg (Plumbum (Lead))	Chemical Silo (Plumbum (Lead))	Bag (PolyP-Phenylene Terephthalamide Pellets)	Sack (PolyP-Phenylene Terephthalamide Pellets)	Powder Keg (PolyP-Phenylene Terephthalamide Pellets)	Chemical Silo (PolyP-Phenylene Terephthalamide Pellets)	Block (kevlar)	Slab (kevlar)	Stairs (kevlar)	0	0	Fibers (PIBA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	DNA sampler (Expert)		Clay Ball	Cactus
		0	0		0	0	Bag (PolyP-Methyl Styrene Pellets)	Beaker (Vodka)	Vial (Calcium Nitrate)	Beaker (Calcium Nitrate)	Drum (Calcium Nitrate)	Chemical Vat (Calcium Nitrate)	0	0	0	0	Bag (Bismuth)	Sack (Bismuth)	Powder Keg (Bismuth)	Chemical Silo (Bismuth)	Bag (PolyPropylene Pellets)	Sack (PolyPropylene Pellets)	Powder Keg (PolyPropylene Pellets)	Chemical Silo (PolyPropylene Pellets)	Block (PP)	Slab (PP)	Stairs (PP)	0	0	Fibers (PIB)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	DNA sampler (Nether)		Reeds	Clay
		0	0		0	0	Bag (PolyP-Phenylene Sulphide Pellets)	Drum (Vodka)	Vial (Calcium Oxide)	Beaker (Calcium Oxide)	Drum (Calcium Oxide)	Chemical Vat (Calcium Oxide)	0	0	0	0	Bag (Polonium)	Sack (Polonium)	Powder Keg (Polonium)	Chemical Silo (Polonium)	Bag (PolyPropylene Glycol Pellets)	Sack (PolyPropylene Glycol Pellets)	Powder Keg (PolyPropylene Glycol Pellets)	Chemical Silo (PolyPropylene Glycol Pellets)	Block (PPG)	Slab (PPG)	Stairs (PPG)	0	0	Fibers (Natural Rubber)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Guano		Paper	Reeds
		0	0		0	0	Bag (PolyP-Phenylene Terephthalamide Pellets)	Vial (Gin)	Vial (Calcium Phosphate, Monobasic)	Beaker (Calcium Phosphate, Monobasic)	Drum (Calcium Phosphate, Monobasic)	Chemical Vat (Calcium Phosphate, Monobasic)	0	0	0	0	Bag (Astatine)	Sack (Astatine)	Powder Keg (Astatine)	Chemical Silo (Astatine)	Bag (PolyPropylene Oxide Pellets)	Sack (PolyPropylene Oxide Pellets)	Powder Keg (PolyPropylene Oxide Pellets)	Chemical Silo (PolyPropylene Oxide Pellets)	Block (PPOX)	Slab (PPOX)	Stairs (PPOX)	0	0	Fibers (PLA)	0	0	0			 	 	 	 						0	'[2]Gripped Tools'!#REF!	0	Flourescent Bulbs		Book	Jukebox
		0	0		0	0	Bag (PolyPropylene Pellets)	Beaker (Gin)	Vial (Calcium Sulfate Anhydrous)	Beaker (Calcium Sulfate Anhydrous)	Drum (Calcium Sulfate Anhydrous)	Chemical Vat (Calcium Sulfate Anhydrous)	0	0	0	0	Flask (Radon)	Cartridge (Radon)	Canister (Radon)	Chemical Tank (Radon)	Bag (PolyStyrene Pellets)	Sack (PolyStyrene Pellets)	Powder Keg (PolyStyrene Pellets)	Chemical Silo (PolyStyrene Pellets)	Block (PS)	Slab (PS)	Stairs (PS)	0	0	Fibers (PLGA)	0	0	0			 									0	'[2]Gripped Tools'!#REF!	0	Oil Slime Ball		Slime Ball	Fence
